segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,rate_of_penetration,surface_weight_on_bit,surface_rpm
wellbore_chev_no_0_727,0,0,200,1,-0.9870490052819202,0.3877820677174142,0.38355064057983534,-0.134093748444901,0.5793980947936783,-0.2337135933597538
wellbore_chev_no_0_728,0,0,199,1,-0.9870490052819202,0.38874046798968537,0.3887783678617604,-0.13882747370129775,0.49324039705544626,-0.23371715853466957
wellbore_chev_no_0_729,0,0,196,1,-0.9870490052819202,0.3939681058384372,0.39400609514368545,-0.4245468580154867,0.9642068316587035,-0.231324497868727
wellbore_chev_no_0_730,0,0,203,1,-0.9870490052819202,0.39919574368718913,0.39923382242561045,-0.39176640183327965,-0.430323431168676,-0.24517810532092812
wellbore_chev_no_0_731,0,0,203,1,-0.9870490052819202,0.404423381535941,0.4044615497075355,-0.11547406784712316,-0.3281665905057639,-0.24707501235357815
wellbore_chev_no_0_732,0,0,202,1,-0.9870490052819202,0.40965101938469284,0.40968927698946056,-0.10602350863822885,-0.3020430879291507,-0.24836394800586728
wellbore_chev_no_0_733,0,0,201,1,-0.9870490052819202,0.4148786572334447,0.41491700427138556,-0.10437282866806773,0.2281550767733491,-0.2488794310554102
wellbore_chev_no_0_734,0,0,201,1,-0.9870490052819202,0.42010629508219655,0.4201447315533106,-0.23223863534667266,-0.2387415310322855,-0.2515563063553079
wellbore_chev_no_0_735,0,0,201,1,-0.9870490052819202,0.42533393293094846,0.42537245883523567,-0.10953153095735078,-0.7583802716424164,-0.25509897982314417
wellbore_chev_no_0_736,0,0,201,1,-0.9870490052819202,0.4305615707797003,0.43060018611716067,-0.10257321643678723,-0.674812360475264,-0.2551783218193145
wellbore_chev_no_0_737,0,0,201,1,-0.9870490052819202,0.43578920862845216,0.4358279133990857,-0.4231168097140769,-0.6073035910824337,-0.901985933793831
wellbore_chev_no_0_738,0,0,201,1,-0.9870490052819202,0.441016846477204,0.4410556406810108,-0.45637794336597903,0.1976043115360387,-0.6469113264195319
wellbore_chev_no_0_739,0,0,201,1,-0.9870490052819202,0.44624448432595587,0.4462833679629358,-0.23181863670776343,-0.8957076871845687,-0.2680337953004982
wellbore_chev_no_0_740,0,0,201,1,-0.9870490052819202,0.4514721221747078,0.4515110952448608,-0.37663684694570254,-0.6119508777143549,-0.5987345506741532
wellbore_chev_no_0_741,0,0,201,1,-0.9870490052819202,0.45669976002345963,0.4567388225267859,-0.0965865532859155,-0.2912636361236279,-0.2442924627310957
wellbore_chev_no_0_742,0,0,201,1,-0.9870490052819202,0.4619273978722115,0.4619665498087109,-0.2907107923664997,-0.21990511105271335,-0.8641728320341703
wellbore_chev_no_0_743,0,0,201,1,-0.9870490052819202,0.46715503572096334,0.46719427709063593,-0.3281611234049767,-0.2382465777549413,-1.4111634777663153
wellbore_chev_no_0_744,0,0,201,1,-0.9870490052819202,0.4723826735697152,0.47242200437256093,-0.14230581799946912,-0.5029469971581474,-1.4033047496107112
wellbore_chev_no_0_745,0,0,201,1,-0.9870490052819202,0.47761031141846705,0.477649731654486,-0.38656512928075193,-0.45850933348891615,-1.40356913568562
wellbore_chev_no_0_746,0,0,201,1,-0.9870490052819202,0.48283794926721896,0.48287745893641104,-0.3903515050314674,-0.1608383506609954,-0.6121783216394129
wellbore_chev_no_0_747,0,0,201,1,-0.9870490052819202,0.4880655871159708,0.48810518621833604,-0.13986174204267762,-0.147419094658107,-0.24608362802406086
wellbore_chev_no_0_748,0,0,201,1,-0.9870490052819202,0.49329322496472267,0.4933329135002611,-0.3028864339882527,-0.542462234592887,-0.22875340396563323
wellbore_chev_no_0_749,0,0,143,1,-0.9870490052819202,0.4985208628134745,0.49856064078218615,-0.14909976741921113,-0.24253638362063112,-0.22830399364054524
wellbore_chev_no_0_750,0,0,143,1,-0.9870490052819202,0.5037485006622264,0.5037883680641112,-0.16167011159008285,0.040340443719350895,-0.2298241421884567
wellbore_chev_no_0_751,0,0,143,1,-0.9870490052819202,0.5089761385109782,0.5090160953460362,-0.16294422900012417,0.20948363099161732,-0.2256204876705025
wellbore_chev_no_0_752,0,0,143,1,-0.9870490052819202,0.5142037763597301,0.5142438226279612,-0.26529400131400066,-0.13413733810822495,-0.24079596204585615
wellbore_chev_no_0_753,0,0,143,1,-0.9870490052819202,0.5194314142084819,0.5194715499098863,-0.0995951215439759,-0.3394134766890264,-0.2505384469337506
wellbore_chev_no_0_754,0,0,143,1,-0.9870490052819202,0.5246590520572338,0.5246992771918113,-0.357581633339863,-0.16688808785816675,-0.24899181139666546
wellbore_chev_no_0_755,0,0,143,1,-0.9870490052819202,0.5298866899059858,0.5299270044737363,-0.35832799866925813,0.30946805019627377,-0.24819205422748927
wellbore_chev_no_0_756,0,0,210,1,-0.9870490052819202,0.5351143277547376,0.5351547317556614,-0.27272377246859975,-0.5350926214905407,-0.2496660339585145
wellbore_chev_no_0_757,0,0,207,1,-0.9870490052819202,0.5403419656034895,0.5403824590375864,-0.6249824192810923,-1.2631175973425042,-0.22862964599719715
